Year,Category,Expenditure_RM_Mil,Percent
2018,Accommodation,21622.70,25.7
2018,Food & Beverage,11274.10,13.4
2018,Leisure & Others,11694.70,13.9
2018,Shopping,28101.20,33.4
2018,Transport,11442.40,13.6
2019,Accommodation,20674.40,24
2019,Food & Beverage,11457.10,13.3
2019,Leisure & Others,12060.10,14
2019,Shopping,28944.20,33.6
2019,Transport,13007.60,15.1
2020,Accommodation,2964.70,23.4
2020,Food & Beverage,1852.70,14.6
2020,Leisure & Others,1708.90,13.5
2020,Shopping,4488.90,35.4
2020,Transport,1673.50,13.2
2021,Accommodation,89.29,37.4
2021,Food & Beverage,55.62,23.3
2021,Leisure & Others,7.64,3.2
2021,Shopping,3.10,1.3
2021,Transport,78.30,32.8
2022,Accommodation,4714.10,16.8
2022,Food & Beverage,4403.60,15.8
2022,Leisure & Others,4544.70,16.4
2022,Shopping,10755.00,38.6
2022,Transport,3443.90,12.4
2023,Accommodation,13406.00,18.8
2023,Food & Beverage,10625.00,14.9
2023,Leisure & Others,10268.40,14.4
2023,Shopping,24173.60,33.9
2023,Transport,12835.50,18